time_iso8601,forks_cumulative
2021-10-30 00:00:00+00:00,10
2021-10-31 00:00:00+00:00,12
2021-11-01 00:00:00+00:00,17
2021-11-02 00:00:00+00:00,23
2021-11-03 00:00:00+00:00,25
2021-11-04 00:00:00+00:00,30
2021-11-05 00:00:00+00:00,31
2021-11-07 00:00:00+00:00,33
2021-11-08 00:00:00+00:00,34
2021-11-12 00:00:00+00:00,36
2021-11-13 00:00:00+00:00,37
2021-11-15 00:00:00+00:00,38
2021-11-19 00:00:00+00:00,40
2021-11-20 00:00:00+00:00,41
2021-11-21 00:00:00+00:00,42
2021-11-22 00:00:00+00:00,43
2021-11-25 00:00:00+00:00,44
2021-11-30 00:00:00+00:00,46
2021-12-01 00:00:00+00:00,47
2021-12-03 00:00:00+00:00,48
2021-12-04 00:00:00+00:00,49
2021-12-13 00:00:00+00:00,50
2021-12-15 00:00:00+00:00,51
2021-12-17 00:00:00+00:00,52
2021-12-18 00:00:00+00:00,53
2021-12-19 00:00:00+00:00,55
2021-12-22 00:00:00+00:00,56
2021-12-25 00:00:00+00:00,57
2021-12-29 00:00:00+00:00,58
2022-01-08 00:00:00+00:00,59
2022-01-10 00:00:00+00:00,60
2022-01-13 00:00:00+00:00,61
2022-01-14 00:00:00+00:00,62
2022-01-17 00:00:00+00:00,63
2022-01-25 00:00:00+00:00,64
2022-01-30 00:00:00+00:00,65
2022-02-05 00:00:00+00:00,66
2022-02-11 00:00:00+00:00,67
2022-02-14 00:00:00+00:00,68
2022-02-20 00:00:00+00:00,69
2022-02-24 00:00:00+00:00,70
2022-02-27 00:00:00+00:00,71
2022-03-01 00:00:00+00:00,72
2022-03-11 00:00:00+00:00,73
2022-03-22 00:00:00+00:00,75
2022-03-28 00:00:00+00:00,76
2022-04-01 00:00:00+00:00,77
2022-04-08 00:00:00+00:00,78
2022-04-13 00:00:00+00:00,79
2022-04-16 00:00:00+00:00,80
2022-04-17 00:00:00+00:00,81
2022-04-25 00:00:00+00:00,82
2022-04-27 00:00:00+00:00,83
2022-05-02 00:00:00+00:00,84
2022-05-03 00:00:00+00:00,85
2022-05-19 00:00:00+00:00,86
2022-05-24 00:00:00+00:00,87
2022-06-11 00:00:00+00:00,88
2022-06-23 00:00:00+00:00,89
2022-07-04 00:00:00+00:00,90
2022-07-06 00:00:00+00:00,91
2022-08-24 00:00:00+00:00,92
2022-09-11 00:00:00+00:00,93
2022-09-12 00:00:00+00:00,94
2022-09-22 00:00:00+00:00,95
2022-10-06 00:00:00+00:00,96
2022-10-20 00:00:00+00:00,97
2022-10-23 00:00:00+00:00,98
2022-10-30 00:00:00+00:00,99
2022-12-10 00:00:00+00:00,100
2022-12-26 00:00:00+00:00,101
2023-01-03 00:00:00+00:00,102
2023-01-05 00:00:00+00:00,103
2023-01-07 00:00:00+00:00,104
2023-01-31 00:00:00+00:00,105
2023-02-01 00:00:00+00:00,106
2023-02-24 00:00:00+00:00,107
2023-03-01 00:00:00+00:00,108
2023-03-12 00:00:00+00:00,109
2023-03-13 00:00:00+00:00,110
2023-04-02 00:00:00+00:00,111
2023-04-09 00:00:00+00:00,112
2023-04-15 00:00:00+00:00,113
2023-04-29 00:00:00+00:00,114
2023-05-28 00:00:00+00:00,115
2023-07-16 00:00:00+00:00,116
2023-08-05 00:00:00+00:00,117
2023-12-10 00:00:00+00:00,118
2023-12-24 00:00:00+00:00,119
