url_path,views_total,views_unique
/zdharma-continuum/zinit,1605,821
/zdharma-continuum/zinit/issues,67,33
/zdharma-continuum/zinit/blob/main/zinit-install.zsh,53,13
/zdharma-continuum/zinit/tree/main/scripts,32,10
/zdharma-continuum/zinit/wiki,29,13
/zdharma-continuum/zinit/blob/main/README.md,29,9
/zdharma-continuum/zinit/discussions/631,27,3
/zdharma-continuum/zinit/blob/main/scripts/install.sh,26,10
/zdharma-continuum/zinit/tree/main/doc,25,9
/zdharma-continuum/zinit/blob/main/zinit.zsh,21,9
